L5Tue		<br>He said to them all,|<br>The Lord said to his disciples, 
L5Wed		<br>‘|<br>The Lord said to his disciples, ‘
L5Thu		<br>John then spoke. He said,|<br>At that time one of the disciples came to Jesus and said,
L5Fri		<br>After this the Lord also appointed seventy others,|<br>At that time the Lord appointed seventy other disciples,
L5Sat		<br>When he finished all that he had to say in the hearing of the people, he|<br>At that time Jesus
L5Sun		<br>‘There|<br>The Lord said, ‘There
L6Mon		<br>He turned to the disciples and said,|<br>The Lord said,
L6Tue		<br>He was praying|<br>At that time Jesus was praying
L6Wed		<br>‘And so I|<br>The Lord said to his disciples, ‘I
L6Thu		<br>He|<br>At that time Jesus
L6Fri		<br>‘Anyone|<br>The Lord said, ‘Anyone
L6Sat		<br>‘Having|<br>The Lord said, ‘Having
L6Sun		<br>He sailed on towards the territory of the Gadarenes, which is opposite Galilee, and when he came ashore|<br>At that time Jesus arrived in the territory of the Gadarenes, and
L7Mon		<br>With the crowds gathering, he|<br>At that time, with the crowds gathering, Jesus
L7Tue		<br>‘The lamp|<br>The Lord said, ‘The lamp
L7Wed		<br>‘But woe|<br>The Lord said to the Jews who came to him, ‘Woe
L7Thu		<br>‘Woe|<br>The Lord said to the Jews who came to him, ‘Woe
L7Fri		<br>‘There|<br>The Lord said to his disciples, ‘There
L7Sat		<br>Jesus|<br>At that time Jesus
L7Sun		<br>Then a man|<br>At that time a man
L8Mon		<br>Someone|<br>At that time, when Jesus was teaching, someone
L8Tue		<br>The Lord replied|<br>The Lord said
L8Wed		<br>‘But the one who unknowingly did what deserves a flogging will receive a lesser beating. From|<br>The Lord said, ‘From
L8Thu		
L8Fri		<br>On that day some Pharisees came up to him and said|<br>At that time some Pharisees came up to Jesus and said
L8Sat		On the next day when they came down from the mountain, a great crowd met him|At that time, when they came down from the mountain, a great crowd met Jesus%God. As everyone marvelled at all that Jesus did, he said to his disciples.<br>|God.<br>
L8Sun		<br>One of the lawyers then stood up to test him|<br>At that time one of the lawyers stood up to test Jesus
L9Mon		<br>On the Sabbath, as he|<br>At that time, as Jesus%… He also said| … He said
L9Tue		<br>Great crowds were travelling with him|<br>At that time great crowds were travelling with Jesus
L9Wed		<br>All the tax collectors and the sinners were coming up to him|<br>At that time all the tax collectors and the sinners were coming up to Jesus
L9Thu		<br>He also said to his disciples,|<br>The Lord told this parable.
L9Fri		<br>He told them|<br>The Lord said to the Jews who came to him
L9Sat		<br>As they went on their way, someone said to him|<br>At that time, as they went on their way, someone said to Jesus
